namme_common,name_scientific
Halcón de Eleonora,Falco eleonorae
Halcón peregrino,Falco peregrinus
Halcón tagarote,Falco pelegrinoides
Herrerillo canario,Cyanistes teneriffae
Herrerillo capuchino,Lophophanes cristatus
Herrerillo común,Cyanistes caeruleus
Eider común,Somateria mollissima
Elanio común,Elanus caeruleus
Escribano cerillo,Emberiza citrinella
Escribano hortelano,Emberiza hortulana
Escribano montesino,Emberiza cia
Escribano nival,Plectrophenax nivalis
Escribano palustre,Emberiza schoeniclus
Escribano soteño,Emberiza cirlus
Escribano triguero,Miliaria calandra
Esmerejón,Falco columbarius
Espátula común,Platalea leucorodia
Estornino negro,Sturnus unicolor
Estornino pinto,Sturnus vulgaris
Estrilda común,Estrilda astrild
Faisán vulgar,Phasianus colchicus
Falaropo picofino,Phalaropus lobatus
Falaropo picogrueso,Phalaropus fulicarius
Flamenco común,Phoenicopterus roseus
Focha común,Fulica atra
Focha moruna,Fulica cristata
Frailecillo atlántico,Fratercula arctica
Fulmar boreal,Fulmarus glacialis
Fumarel aliblanco,Chlidonias leucopterus
Fumarel cariblanco,Chlidonias hybrida
Fumarel común,Chlidonias niger
Abejaruco europeo,Merops apiaster
Gallineta común,Gallinula chloropus
Barnacla cariblanca,Branta leucopsis
Abejero europeo,Pernis apivorus
Abubilla,Upupa epops
Acentor alpino,Prunella collaris
Acentor común,Prunella modularis
Agachadiza chica,Lymnocryptes minimus
Agachadiza común,Gallinago gallinago
Agateador euroasiático,Certhia familiaris
Agateador europeo,Certhia brachydactyla
Águila calzada,Hieraaetus pennatus
Águila imperial ibérica,Aquila adalberti
Águila perdicera,Aquila fasciata
Águila pescadora,Pandion haliaetus
Águila real,Aquila chrysaetos
Aguilucho cenizo,Circus pygargus
Aguilucho lagunero occidental,Circus aeruginosus
Aguilucho pálido,Circus cyaneus
Ganga ibérica,Pterocles alchata
Ganga ortega,Pterocles orientalis
Garceta común,Egretta garzetta
Garceta grande,Egretta alba
Garcilla bueyera,Bubulcus ibis
Garcilla cangrejera,Ardeola ralloides
Garza imperial,Ardea purpurea
Garza real,Ardea cinerea
Gavilán común,Accipiter nisus
Gavión atlántico,Larus marinus
Gaviota argéntea europea,Larus argentatus
Gaviota cabecinegra,Larus melanocephalus
Gaviota cana,Larus canus
Gaviota de Audouin,Larus audouinii
Gaviota de Sabine,Xema sabini
Gaviota enana,Larus minutus
Gaviota patiamarilla,Larus michahellis
Barnacla carinegra,Branta bernicla
Bengalí rojo,Amandava amandava
Bigotudo,Panurus biarmicus
Bisbita alpino,Anthus spinoletta
Bisbita arbóreo,Anthus trivialis
Bisbita caminero,Anthus berthelotii
Bisbita costero,Anthus petrosus
Bisbita gorgirrojo,Anthus cervinus
Bisbita pratense,Anthus pratensis
Búho campestre,Asio flammeus
Búho chico,Asio otus
Búho real,Bubo bubo
Buitre leonado,Gyps fulvus
Buitre negro,Aegypius monachus
Bulbul naranjero,Pycnonotus barbatus
Busardo ratonero,Buteo buteo
Buscarla pintoja,Locustella naevia
Aguja colinegra,Limosa limosa
Aguja colipinta,Limosa lapponica
Alca común,Alca torda
Alcaraván común,Burhinus oedicnemus
Alcatraz atlántico,Morus bassanus
Alcaudón chico,Lanius minor
Alcaudón común,Lanius senator
Alcaudón dorsirrojo,Lanius collurio
Alcaudón real,Lanius meridionalis
Alcotán europeo,Falco subbuteo
Alimoche común,Neophron percnopterus
Alondra común,Alauda arvensis
Alondra ricotí,Chersophilus duponti
Alzacola rojizo,Cercotrichas galactotes
Ánade azulón,Anas platyrhynchos
Ánade friso,Mareca strepera
Ánade rabudo,Anas acuta
Andarríos bastardo,Tringa glareola
Gaviota picofina,Chroicocephalus genei
Gaviota reidora,Chroicocephalus ridibundus
Gaviota sombría,Larus fuscus
Gaviota tridáctila,Rissa tridactyla
Golondrina común,Hirundo rustica
Golondrina dáurica,Cecropis daurica
Gorrión alpino,Montifringilla nivalis
Gorrión chillón,Petronia petronia
Gorrión común,Passer domesticus
Gorrión molinero,Passer montanus
Gorrión moruno,Passer hispaniolensis
Graja,Corvus frugilegus
Grajilla occidental,Corvus monedula
Grulla común,Grus grus
Guión de codornices,Crex crex
Buscarla unicolor,Locustella luscinioides
